customer_id,basket
75689161,"34,13,42,11,5,10,30,6"
37394281,"25,32,10,3"
80002250,"24,12,42,45,16,8"
24795952,"34,13,37"
99012405,"14,4,3,2,45,38,33,44,10,35,37,42,27,12,7,21,39,34"
37566879,"47,6,2,3,4"
59292646,"43,42,32,46,28,38,36,23,17,33,24,1,37,14,2,8,19,13"
22300046,"37,35,47,6,20,30,48,25,32,13,7,22"
13495004,"35,46,48,25,22,15,26,2,18,3"
24165703,"18,34,25,2,47,27,45"
35049489,"14,9,38,43"
21508978,"28,22,40,13,26,2,37,34,6,41,1,27,39"
83029922,"41,26,46,25"
779752,"24,15,43,34,45,13,47,6,1,39"
97501664,"21,16,3,31,14,9,11,5,39"
64744381,"38,23,9,47,40,42,28,44,10"
13194862,"7,4,2,1,39"
98793438,"11,9,38"
52385188,"9,23"
50198138,"14,21,44,27,18,2,3,13,37,39,41,17"
55616051,"10,3,14,2,26,28,4,23,39,44,1"
25319531,"37,42,12,41"
34069794,"32,45,25,18,26,1,27,6"
69378829,"41,28,17,36,26,34,13,23,6,47,31,40"
88698553,"9,16,48,46,11,14,23,41,35,44,27,3,2"
3102283,"12,17,20,41,26,6,11,48,8,21,47,22,5,38,14,35"
99183773,"26,2,14,21,11,28,44"
76139975,"20,36,43,38,13,16,14,8,2,40,4,31,11"
56683901,"1,34,5,2,25"
54550522,"10,36,13,26,34,20,25,19,42,5,31,28,41,8,45,2"
49579855,"32,27,1,10,40,39,37,45,38,2"
25633146,"3,1,15,7,24"
63160651,"6,23,46,10,2"
51526109,"20,46,10,19,18,12,7,24,17,39,28,2,22,1,41"
9505873,"23,47,9,6,37,2,20"
92843744,"2,42,44,25,20,10,38,18,32,40,47,6"
4625094,"41,40,27,9,39,6,26,48,43"
98953023,"1,13,23,15,42,2,47,34,38"
16786160,"17,47,43,23,2,6,48,16,28,12,29"
32507297,"6,15,14,42,44,2,16,23,43,38,9,46,17"
28525657,"4,22,23,21,27,18,28,25,1"
80891170,"42,36,22,41,25,20,8,16"
35717188,"2,45,40,11,47,9,17"
251936,"21,3,26,28,31,27,2,25,24,1,43,17,37,39,5,36,34,38,12,8"
4857679,"33,7,8,36,29,12"
91925073,"4,48,18,25,32"
20430098,"42,10,40,32,46,25,30,2,31,43,23"
83952662,"40,20,32,26,22"
93706749,"48,21,2,32,46,39,26,33,9,22,17"
5072972,"2,39,32,20,47,45,35,17,6,40,28,23,38,25,34,13"
42366011,"47,39,23,33"
14209460,"3,39,1,7,27,20,35,12,46,43,9,4"
5440162,"13,10,42,44,22,36,39"
38228485,"6,47,20,2,40,32,5,22,36,15,26"
9915969,"46,25,8,14,10"
95317627,"46,34,39,32,20,40"
14931854,"32,1,40,9,27,22,15"
66654900,"47,40,46,2,3,22,41,39,34,37"
49046112,"34,30,45,10,42,27,38,23,1,37"
68418131,"6,42"
16771901,"18,15,7,46,25"
45674084,"17,22,36,41,7,39,13,6,2"
78523571,"2,42,48,17,15,25,22"
45957396,"17,2,42,10"
72533845,"40,46,32,2,20,6,17,42,10,1,9,34,22,8"
69433515,"9,38,43,2,44"
75430280,"44,14,28,42,10,27"
81016069,"37,26,45"
66419760,"10,45"
95718157,"34,7,36,40,2,46"
78786289,"21,1,3,43,37,2,22,34"
76562813,"23,38,37,34,27,18,5,40,4,6"
25404946,"45,44,2,21,16,27,37,23,39,13,24,47,11,34"
20356345,"41,10,42,16,14,47,26,28"
73438748,37
96684139,"46,48"
23362007,"23,38,2,9,10,35,8,1"
24991081,"11,23,43,9,34,22,42,20,18,45,38,3"
58589876,"5,12,47,17,6,39,32,7,33,2,18,37,36,46,3,45,44"
93938165,"31,43"
4650452,"34,13,36,8,48,42,12,20,37,32,45,46"
49743770,"1,41,15"
70536668,"34,32,39"
76700644,"9,32,20,36,25,40,42,1,12,37"
32655423,"3,2,21,20,18,26"
37715648,"12,28,41,36,10,45,48,38,9"
87142301,"31,38"
19717856,"21,33,9,1,23,43,16,32,20,2"
39931720,"48,14,23,19,13,29,39,38,3,2,18,35,46,32,10,45,47"
94397750,"28,21,20,5,11,2,45,12,43,46,32,15,9,17"
35540202,37
10684197,"9,17,47,8,46,33,6,5,11"
13180137,13
86518770,"46,16,47,6,12,34,26,20,40,21,32,8,43,9,38,45"
39486364,"28,18,2,48,38"
15954239,"9,38,31,25,40,21,48"
81916827,"22,25,45,37,39,17,34,44,1,6,47,42,14,48,8,2"
65655993,"19,38,9,1,3,22,36,39,10,37,28,24,33"
62569809,"37,46,41,28,38,39"
67317949,"13,37,42,10,5,1,2,28,27"
64681395,"45,42,10,20,5,8,44,43,32,34,23"
56885335,"23,10,26,28,1,20,32,25,45,2,22,36,38"
79718676,"37,25,40,47,19,8,32,4,1,41,2,36,45,23,42,26,39"
18549386,"42,40,37,34,16,21,31,5,46,25,2,9,28"
76133463,"9,23,28,37,38,45,1,48,10,42,14,43,7,2,18"
84135936,"2,48,21,6,47,1,8,5,17,32,40,46"
31029526,"2,42,10,45,16,24,21,8,38,22,27,44"
58252707,"22,28,41,17,45,16,14,8,46,10,2"
56391260,"40,42,22,43,28,36,32,37"
74877908,"43,40,18,10"
79848360,"30,25,13,12,26,10,46,17"
87864068,"31,11,44,32,40,2,4,17,41"
61033553,"47,17,1,6,38,9,37,39,32,41,26"
36747099,"47,21,45,2,42,46,32,40,31,30"
99528344,"17,42,44,45,2,10,47,29"
16882617,"15,46,25,32,20,6,34,28,13,2,10,41"
47518794,"28,9,43,23,48,38,27,16,24,13,39,10,7,42"
15115154,"20,25,40,23,43,2,32,10"
94460177,"37,13,34,39"
40993074,"34,36,32,18,31,44,2"
98046812,"33,9,13,39,7,48,6,37,24"
46377380,"14,33,34,28,25,46,17,22,36"
92466697,"41,42,45,2,44,20,37,32,28,23,3,15"
70698006,"45,44,1,14,32,22,35,18,25"
58372336,"17,40,2"
20033936,"37,43,23,2,44,36"
21544011,20
57299337,"10,44"
73455420,"18,17,25,29,19,41,2,22,36,5,23,43,37,39"
67389662,"26,2,42,44,37"
4088095,"8,17,23,9,1,16,14,4,39,37,27"
99859145,"6,47,34,3,27,2,38,4,23,43"
4100231,"44,25,23,9,26,18,45,10,42,2,33,14,16,32,12"
85612043,39
15608234,"40,23,2,18,27,43,9,45,44,10,38,24,39,14"
8799296,"3,47,6,5,30,1,13,48,11,32,25,20"
39196148,"17,41,34,15,7,37,42,3,47"
77519013,"10,45,9,43,13,47,17,1,23,36,16,48"
15449780,"38,45"
75727053,"41,23,38,43,47,3,36,7,44,42,34,39,40"
83683336,"17,47,45,2,36,26,28,6,43,18,7,3,33,12,41"
9819796,"2,9,43,30,10,42,44,45"
50281714,"14,16,46,23,43,25,9"
78974029,"27,36,15,18"
58312011,"47,23,21,42,22,45,39,37,34,25,20,40,46,9"
67896664,"25,20,32,44,21,37,34,18,39"
40011071,"47,17,2,15,33"
4538161,"19,12,47,43,46"
22343044,"25,40,32,13,44,2,46,21,43,17"
98913731,"47,17,18,21,16"
97492310,"40,25,2,17,44,20"
74840354,"3,20,32,36,39"
56715645,"12,47,4,10,13,27,25,30,16,21,48,18,9"
72506225,"20,25,46,26,2,40,34,17,47,21,38,44,22,42,36,39,48,24,45"
84291003,"11,6,44,37,2,21,3,36,35,20,22,40,42,45,46,17"
74197368,"46,25,8,16,6,2,10,42,45,34,37,14,7"
39067798,"44,2,43,34,28,45"
26592652,"43,34,9,13,22,7,15,45,16,48,8,10,42,17,6"
35957693,"3,18,44,42,38"
13514144,"13,10,32,43"
74294028,"1,5,45,44"
9235038,"3,2,12,1,42,45,7"
79212182,"40,20,6,10"
75523683,"47,15,24"
53779230,"32,38,23,9"
99843261,"16,20,25,1,27,33,38,23,9"
38082550,"25,1,2,28,40,9,10,44,48,16,45,42,37"
10638462,"16,27,48,8,46,25,41,20,29,43,10,42,14"
97906114,"13,34,17,26,38,43,9,18,46,40,6,3"
